conv_x_name	program_cluster
1_Левин_Андрей	cultmass
1_Кириллова_Полина	cultmass
1_Кузнецова_Алёна	cultmass
1_Удимов_Даниил_Алексеевич	cultmass
1_Штейников_Юрий_Николаевич	cultmass
1_Миценко_Вадим_Валериевич	cultmass
2_Власов_Артем_Андреевич	cultmass
2_Сафина_Диана_Ураловна	cultmass
2_Антонов_Сергей_Валентинович	cultmass
2_Попов_Леонид_Андреевич	cultmass
2_Акушевич_Андрей_Дмитриевич	cultmass
2_Дьяков_Павел_Александрович	cultmass
2_Абдуллаева_Эмилия_Табриз_кызы	cultmass
3_Тюрина_Татьяна_Игоревна	cultmass
3_Чистяков_Михаил_Сергеевич	cultmass
3_Савченко_Анастасия_Игоревна	cultmass
3_Борисов_Василий_Александрович	cultmass
3_Хамматова_Гульназ_Марселевна	cultmass
3_Куркотов_Вадим_Александрович	cultmass
3_Антонов_Сергей_Валентинович	cultmass
3_Попов_Леонид_Андреевич	cultmass
3_Тен_Анна_Бенхиевна	cultmass
3_Самонов_Алексей_Александрович	cultmass
4_Оськин_Александр_Андреевич	cultmass
4_Борисов_Василий_Александрович	cultmass
4_Мамедов_Рамин_Кямран_Оглы	cultmass
4_Мизраки_Вячеслав_Алексеевич	cultmass
4_Таибов_Али_Зайнудин_Гусейнович	cultmass
4_Нагорных_Яна_Валерьевна	cultmass
4_Белов_Александр_Игоревич	cultmass
4_Броницкий_Георгий_Тимурович	cultmass
4_Чернова_Анна_Александровна	cultmass
4_Савченко_Анастасия_Игоревна	cultmass
4_Аленина_Анастасия_Николаевна	cultmass
4_Остросаблина_Ольга_Фёдоровна	cultmass
4_Горшков_Кирилл_Игоревич	cultmass
4_Бекбулатов_Рамзан_Ломалиевич	cultmass
5_Коллерова_Светлана_Эдуардовна	cultmass
5_Муравьёва_Анна_Сергеевна	cultmass
5_Ильясова_Алина_Олжасовна	cultmass
5_Краснова_Анастасия_Александровна	cultmass
5_Александрина_Марина_Сергеевна	cultmass
5_Матюнин_Виталий_Владиславович	cultmass
5_Шигаев_Иван_Андреевич	cultmass
5_Мотовилина_Анна_Олеговна	cultmass
5_Лебедев_Виталий_Александрович	cultmass
6_Штерн_Анастасия_Георгиевна	cultmass
6_Малахов_Николай_Сергеевич	cultmass
6_Ураева_Дженнет_Бяшимовна	cultmass
6_Чаплыгина_Елизавета_Алексеевна	cultmass
6_Лапина_Софья_Михайловна	cultmass
6_Сенотов_Валерий_Дмитриевич	cultmass
6_Третьяков_Артём_Алексеевич	cultmass
6_Сакаев_Роберт_Марселевич	cultmass
6_Татаринцева_Мария_Валерьевна	cultmass
6_Воробьёва_Наталья_Дмитриевна	cultmass
6_Тонконогов_Александр_Владиславович	cultmass
6_Бахметьева_Марина_Игоревна	cultmass
7_Тонконогов_Александр_Владиславович	cultmass
7_Порфирьева_Наталия_Алексеевна	cultmass
7_Волкова_Дарья_Александровна	cultmass
7_Малахов_Николай_Сергеевич	cultmass
7_Змиевский_Леонид_Вячеславович	cultmass
7_Бузенков_Олег_Игоревич	cultmass
7_Вихорева_Надежда_Дмитриевна	cultmass
7_Хахова_Мария_Алексеевна	cultmass
8_Устинов_Никита_Евгеньевич	cultmass
8_Логинова_Ирина_Игоревна	cultmass
8_Вихорева_Надежда_Дмитриевна	cultmass
8_Фиткович_Валерия_Владимировна	cultmass
8_Бузенков_Олег_Игоревич	cultmass
8_Малиновский_Георгий_Андреевич	cultmass
8_Митрофанов_Дмитрий_Георгиевич	cultmass
8_Малахов_Николай_Сергеевич	cultmass
9_Малахов_Николай_Сергеевич	cultmass
9_Панина_Татьяна_Андреевна	cultmass
9_Колузанов_Филипп_Эдуардович	cultmass
9_Третьяков_Пётр_Максимович	cultmass
9_Матвеев_Даниил_Михайлович	cultmass
9_Пушкарёва_Анна_Константиновна	cultmass
9_Ладейщиков_Евгений_Александрович	cultmass
9_Рязанов_Данила_Сергеевич	cultmass
10_Малахов_Николай_Сергеевич	cultmass
10_Хахова_Мария_Алексеевна	cultmass
10_Третьяков_Пётр_Максимович	cultmass
10_Устинов_Никита_Евгеньевич	cultmass
