convocation_no	position	name
6	Координатор РГ «Бытовые вопросы»	Авилова Екатерина Михайловна
11	Координатор РГ «Оповещение»	Алёшечкина Екатерина Сергеевна
3	Координатор РГ «Спорт»	Антонов Сергей Валентинович
1	Заместитель председателя	Асташов Дмитрий Сергеевич
4	Координатор РГ «Оповещение»	Бекбулатов Рамзан Ломалиевич
5	Председатель	Бекбулатов Рамзан Ломалиевич
5	Первый представитель в Студсовете МГУ	Бекбулатов Рамзан Ломалиевич
6	Заместитель председателя	Бекбулатов Рамзан Ломалиевич
6	Второй представитель в Студсовете МГУ	Бекбулатов Рамзан Ломалиевич
3	Заместитель председателя	Быстрицкая Василина Васильевна
3	Координатор РГ «Праздники»	Быстрицкая Василина Васильевна
4	Заместитель председателя	Быстрицкая Василина Васильевна
2	Второй заместитель представителей в Студсовете МГУ	Ватутин Кирилл Александрович
3	Второй заместитель представителей в Студсовете МГУ	Ватутин Кирилл Александрович
8	Координатор РГ «Праздники»	Вихорева Надежда Дмитриевна
1	Второй заместитель представителей в Студсовете МГУ	Владыкина Вероника Евгеньевна
1	Представитель в Учёном совете мехмата	Владыкина Вероника Евгеньевна
1	Координатор РГ «Образование»	Владыкина Вероника Евгеньевна
2	Представитель в Учёном совете мехмата	Владыкина Вероника Евгеньевна
2	Координатор РГ «Образование»	Владыкина Вероника Евгеньевна
7	Координатор РГ «Образование»	Воробьёва Наталья Дмитриевна
7	Координатор РГ «Праздники»	Гигин Иван Сергеевич
4	Председатель	Глунчадзе Ираклий Вахтангович
4	Первый представитель в Студсовете МГУ	Глунчадзе Ираклий Вахтангович
5	Координатор РГ «Оповещение»	Глунчадзе Ираклий Вахтангович
6	Координатор РГ «Распределение стипендий»	Глунчадзе Ираклий Вахтангович
4	Координатор РГ «Бытовые вопросы»	Денисов Илья Олегович
5	Заместитель председателя	Денисов Илья Олегович
5	Координатор РГ «Бытовые вопросы»	Денисов Илья Олегович
6	Председатель	Денисов Илья Олегович
6	Первый представитель в Студсовете МГУ	Денисов Илья Олегович
7	Второй представитель в Студсовете МГУ	Денисов Илья Олегович
8	Второй представитель в Студсовете МГУ	Денисов Илья Олегович
10	Координатор РГ «Бытовые вопросы»	Дехнич Кирилл Андреевич
11	Заместитель председателя	Дехнич Кирилл Андреевич
11	Первый представитель в Студсовете МГУ	Дехнич Кирилл Андреевич
4	Координатор РГ «Праздники»	Дорман Елена Вячеславовна
3	Секретарь	Дяченко Мария Игоревна
4	Секретарь	Дяченко Мария Игоревна
9	Координатор РГ «Праздники»	Евдокимова Софья Александровна
10	Координатор РГ «Спорт»	Евдокимова Софья Александровна
7	Координатор РГ «Работа с партнёрами»	Змиевский Леонид Вячеславович
9	Председатель	Клюев Андрей Игоревич
9	Первый представитель в Студсовете МГУ	Клюев Андрей Игоревич
10	Представитель в Учёном совете мехмата	Клюев Андрей Игоревич
1	Координатор РГ «Трудоустройство»	Коновалов Антон Александрович
6	Второй заместитель представителей в Студсовете МГУ	Корж Даниил Сергеевич
7	Второй заместитель представителей в Студсовете МГУ	Корж Даниил Сергеевич
7	Координатор РГ «Бытовые вопросы»	Корж Даниил Сергеевич
8	Координатор РГ «Бытовые вопросы»	Корж Даниил Сергеевич
3	"Координатор РГ «Проблемы общежитий (сектор ""Б"", ФДС)»"	Короткин Виталий Владимирович
1	Председатель	Котляров Никита Владимирович
1	Первый представитель в Студсовете МГУ	Котляров Никита Владимирович
1	Координатор РГ «Бытовые вопросы»	Котляров Никита Владимирович
2	Координатор РГ «Бытовые вопросы»	Котляров Никита Владимирович
8	Координатор РГ «Оповещение»	Краснова Анастасия Александровна
7	Секретарь	Кудасов Матвей Джамалханович
8	Координатор РГ «Распределение стипендий»	Кухарчук Иван Андреевич
9	Второй представитель в Студсовете МГУ	Кухарчук Иван Андреевич
9	Координатор РГ «Распределение стипендий»	Кухарчук Иван Андреевич
10	Первый заместитель представителей в Студсовете МГУ	Кухарчук Иван Андреевич
10	Координатор РГ «Образование»	Кухарчук Иван Андреевич
11	Координатор РГ «Образование»	Лоншаков Никита Артемович
7	Координатор РГ «Спорт»	Малахов Николай Сергеевич
8	Второй заместитель представителей в Студсовете МГУ	Малахов Николай Сергеевич
8	Координатор РГ «Спорт»	Малахов Николай Сергеевич
9	Первый заместитель представителей в Студсовете МГУ	Малахов Николай Сергеевич
8	Секретарь	Малиновский Георгий Андреевич
9	Координатор РГ «Оповещение»	Малиновский Георгий Андреевич
10	Председатель	Малиновский Георгий Андреевич
11	Председатель	Малиновский Георгий Андреевич
10	Координатор РГ «Праздники»	Манахова Анастасия Николаевна
11	Координатор РГ «Праздники»	Манахова Анастасия Николаевна
3	Председатель	Матвеев Алексей Викторович
3	Первый представитель в Студсовете МГУ	Матвеев Алексей Викторович
4	Второй представитель в Студсовете МГУ	Матвеев Алексей Викторович
2	Координатор РГ «Оповещение»	Матвеев Дмитрий Александрович
3	Координатор РГ «Оповещение»	Матвеев Дмитрий Александрович
4	Координатор РГ «Распределение стипендий»	Матвеев Дмитрий Александрович
3	Координатор РГ «Образование»	Медведева Яна Григорьевна
10	Секретарь	Мельникова Дарья Владимировна
11	Секретарь	Мельникова Дарья Владимировна
3	"Координатор РГ «Бытовые вопросы (сектор ""А"", экология)»"	Митькина Мария Александровна
4	Первый заместитель представителей в Студсовете МГУ	Митькина Мария Александровна
5	Первый заместитель представителей в Студсовете МГУ	Морозов Сергей Сергеевич
6	Координатор РГ «Праздники»	Муравьёва Анна Сергеевна
6	Координатор РГ «Образование»	Нагорных Яна Валерьевна
2	Первый заместитель представителей в Студсовете МГУ	Осин Руслан Владимирович
2	Координатор РГ «Трудоустройство»	Осин Руслан Владимирович
3	Первый заместитель представителей в Студсовете МГУ	Осин Руслан Владимирович
3	Координатор РГ «Работа с партнёрами»	Осин Руслан Владимирович
5	Координатор РГ «Распределение стипендий»	Подкользина Евгения Борисовна
1	Координатор РГ «Спорт и праздники»	Попов Леонид Андреевич
2	Заместитель председателя	Попов Леонид Андреевич
9	Секретарь	Попова Анна Романовна
11	Координатор РГ «Бытовые вопросы»	Приходко Макар Александрович
8	Координатор РГ «Образование»	Промыслов Платон Валерьевич
6	Координатор РГ «Оповещение»	Саакян Вильям Рустамович
4	Координатор РГ «Образование»	Савин Павел Андреевич
5	Секретарь	Савин Павел Андреевич
5	Координатор РГ «Образование»	Савин Павел Андреевич
1	Второй представитель в Студсовете МГУ	Савушкин Никита Максимович
9	Координатор РГ «Образование»	Саметов Максим Алексеевич
1	Координатор РГ «Оповещение»	Сапунов Кирилл Вячеславович
2	Председатель	Сапунов Кирилл Вячеславович
2	Первый представитель в Студсовете МГУ	Сапунов Кирилл Вячеславович
3	Второй представитель в Студсовете МГУ	Сапунов Кирилл Вячеславович
5	Координатор РГ «Спорт»	Семенюк Павел Игоревич
6	Первый заместитель представителей в Студсовете МГУ	Семенюк Павел Игоревич
6	Координатор РГ «Спорт»	Семенюк Павел Игоревич
7	Заместитель председателя	Сенотов Валерий Дмитриевич
7	Первый заместитель представителей в Студсовете МГУ	Сенотов Валерий Дмитриевич
7	Координатор РГ «Оповещение»	Сенотов Валерий Дмитриевич
8	Председатель	Сенотов Валерий Дмитриевич
8	Первый представитель в Студсовете МГУ	Сенотов Валерий Дмитриевич
10	Второй заместитель представителей в Студсовете МГУ	Скурихин Дмитрий Андреевич
10	Первый представитель в Студсовете МГУ	Сулейкин Аллан Олегович
5	Второй заместитель представителей в Студсовете МГУ	Суркова Анастасия Юрьевна
5	Координатор РГ «Праздники»	Суркова Анастасия Юрьевна
2	Координатор РГ «Спорт и праздники»	Тен Анна Бенхиевна
6	Координатор РГ «Работа с партнёрами»	Тонконогов Александр Владиславович
7	Председатель	Тонконогов Александр Владиславович
7	Первый представитель в Студсовете МГУ	Тонконогов Александр Владиславович
8	Первый заместитель представителей в Студсовете МГУ	Тонконогов Александр Владиславович
9	Представитель в Учёном совете мехмата	Третьяков Пётр Максимович
10	Второй представитель в Студсовете МГУ	Третьяков Пётр Максимович
10	Координатор РГ «Оповещение»	Третьяков Пётр Максимович
11	Второй представитель в Студсовете МГУ	Третьяков Пётр Максимович
1	Секретарь	Тропин Александр Михайлович
1	Первый заместитель представителей в Студсовете МГУ	Тропин Александр Михайлович
1	Координатор РГ «Разработка Устава и Положения»	Тропин Александр Михайлович
2	Секретарь	Тропин Александр Михайлович
2	Второй представитель в Студсовете МГУ	Тропин Александр Михайлович
4	Координатор РГ «Работа с партнёрами»	Тюрина Татьяна Игоревна
5	Координатор РГ «Работа с партнёрами»	Тюрина Татьяна Игоревна
9	Заместитель председателя	Фенелонов Даниил Игоревич
9	Координатор РГ «Бытовые вопросы»	Фенелонов Даниил Игоревич
8	Заместитель председателя	Хахова Мария Алексеевна
6	Секретарь	Чернова Анна Александровна
10	Координатор РГ «Связи»	Чуб Вячеслав Валериевич
11	Представитель в Учёном совете мехмата	Чуб Вячеслав Валериевич
