meaningful_word	convocation_no	parent_meaningful_word	cnt
я	1	я	33.0
для	1	для	20.0
меня	1	я	14.0
студентов	1	студент	14.0
мгу	1	мгу	13.0
факультета	1	факультет	12.0
нужно	1	нужно	10.0
мне	1	я	9.0
университета	1	университет	9.0
многие	1	многие	9.0
студсовет	1	студсовет	9.0
хочу	1	хотеть	9.0
работы	1	работа	8.0
их	1	они	8.0
студсовета	1	студсовет	8.0
уже	1	уже	7.0
себе	1	себя	7.0
студсовете	1	студсовет	7.0
мехмата	1	мехмат	7.0
просто	1	просто	6.0
мехмате	1	мехмат	6.0
время	1	время	6.0
есть	1	есть	6.0
участие	1	участие	6.0
группы	1	группа	6.0
мероприятий	1	мероприятие	5.0
мероприятия	1	мероприятие	5.0
хотелось	1	хотеться	5.0
мы	1	мы	5.0
курса	1	курс	5.0
организации	1	организация	5.0
которых	1	который	5.0
жизнь	1	жизнь	5.0
жизни	1	жизнь	5.0
было	1	быть	5.0
день	1	день	5.0
группе	1	группа	5.0
кроме	1	кроме	5.0
гз	1	гз	5.0
заниматься	1	заниматься	4.0
общественной	1	общественный	4.0
была	1	быть	4.0
планирую	1	планировать	4.0
свои	1	свой	4.0
они	1	они	4.0
году	1	год	4.0
можно	1	можно	4.0
т	1	так	4.0
д	1	далее	4.0
считаю	1	считать	4.0
информации	1	информация	4.0
студентам	1	студент	4.0
помогать	1	помогать	4.0
был	1	быть	4.0
участвовать	1	участвовать	4.0
люди	1	человек	4.0
планах	1	план	4.0
опыт	1	опыт	4.0
почти	1	почти	4.0
а13-б19	1	а13-б19	4.0
переход	1	переход	4.0
участник	1	участник	3.0
различных	1	различный	3.0
школе	1	школа	3.0
готов	1	готовый	3.0
деятельностью	1	деятельность	3.0
свой	1	свой	3.0
различные	1	различный	3.0
может	1	мочь	3.0
могут	1	мочь	3.0
знают	1	знать	3.0
делать	1	делать	3.0
вопрос	1	вопрос	3.0
расписании	1	расписание	3.0
своей	1	свой	3.0
студент	1	студент	3.0
интересно	1	интересно	3.0
возможно	1	возможно	3.0
конечно	1	конечно	3.0
тогда	1	тогда	3.0
мало	1	мало	3.0
вопросы	1	вопрос	3.0
внутри	1	внутри	3.0
потоков	1	поток	3.0
проводить	1	проводить	3.0
деятельности	1	деятельность	3.0
общежития	1	общежитие	3.0
улучшение	1	улучшение	3.0
общежитий	1	общежитие	3.0
душ	1	душа	3.0
общежитии	1	общежитие	3.0
сделать	1	сделать	3.0
необходимо	1	необходимо	3.0
развивать	1	развивать	3.0
проблем	1	проблема	3.0
общежитие	1	общежитие	3.0
проблемы	1	проблема	3.0
очередь	1	очередь	3.0
мероприятиях	1	мероприятие	3.0
два	1	два	3.0
работа	1	работа	3.0
возможность	1	возможность	3.0
курсе	1	курс	3.0
работают	1	работать	3.0
курсов	1	курс	3.0
волнует	1	волновать	3.0
студенческого	1	студенческий	3.0
того	1	тот	3.0
год	1	год	3.0
экспромт	1	экспромт	3.0
заняться	1	заняться	3.0
студенческих	1	студенческий	3.0
праздники	1	праздник	3.0
мехматян	1	мехматян	3.0
инициативной	1	инициативный	3.0
выборах	1	выборы	3.0
собраний	1	собрание	3.0
аудиторий	1	аудитория	3.0
