convocation_no	year_stream_no	stream_size	voted_cnt	quota	applications_cnt
1	1.2	138.0	60.0	3	4
1	1.3	115.0	73.0	3	5
1	2.1	133.0	91.0	3	4
1	2.3	113.0	71.0	3	4
1	4.1	97.0	69.0	3	4
2	1.1			3	4
2	2.3			3	5
2	4.3			3	5
3	1.2			3	6
3	3.4			1	2
3	4.1			3	4
3	5.3			3	4
3	m1			1	2
4	1.1	166.0	129.0	3	6
4	1.2	136.0	95.0	3	4
4	1.2	136.0	95.0	3	4
4	1.3	138.0	83.0	3	5
4	2.1	135.0	89.0	3	7
4	2.1	135.0	89.0	3	7
4	3.1	83.0	50.0	3	4
4	3.1	83.0	50.0	3	4
4	3.2	103.0	56.0	3	4
4	3.2	103.0	56.0	3	4
5	1.1	144.0	123.0	3	4
5	1.3	129.0	107.0	3	6
5	2.2	132.0	69.0	3	5
5	2.3	113.0	71.0	3	4
5	m1	28.0	19.0	1	3
5	m1	28.0	19.0	1	3
6	1.2	154.0	120.0	3	4
6	1.3	132.0	110.0	3	5
6	2.2	128.0	81.0	3	6
6	3.3	90.0	66.0	3	6
6	4.1	95.0	50.0	3	5
6	4.1	95.0	50.0	3	5
6	4.3	103.0	57.0	3	4
6	4.3	103.0	57.0	3	4
6	5.1	74.0	43.0	3	4
6	5.2	99.0	51.0	3	4
7	1.1	155.0	102.0	3	5
7	2.3	110.0	61.0	3	4
7	3.1	103.0	53.0	3	4
7	4.3	90.0	48.0	3	4
8	1.2	151.0	104.0	3	5
8	1.3	123.0	98.0	3	5
8	1.3	123.0	98.0	3	5
8	2.1	134.0	81.0	3	5
9	1.1	172.0	94.0	3	4
9	1.3	130.0	99.0	3	4
9	2.2	142.0	72.0	3	4
9	2.2	142.0	72.0	3	4
9	2.3	123.0	62.0	3	5
9	3.3	94.0	47.0	3	4
9	3.3	94.0	47.0	3	4
10	1.1	153.0	77.0	3	7
10	1.1	153.0	77.0	3	7
10	1.2	161.0	84.0	3	4
10	1.3	122.0	68.0	3	7
10	1.3	122.0	68.0	3	7
10	2.1	150.0	76.0	3	6
10	2.3	103.0	56.0	3	5
10	3.1	104.0	52.0	3	4
10	3.2	118.0	59.0	3	4
10	3.3	111.0	59.0	3	4
10	4.1	91.0	54.0	3	4
10	5.1	90.0	47.0	3	4
11	3.5	14.0	8.0	1	2
