link	year_x_year_stream	link_date	link_year_no	link_month_no	link_day_no	link_time	year_stream_no	year_no	stream_no
https://vk.com/wall-33327655_8329	2019_1.1	2019-10-25	2019	10	25	0:14	1.1	1	1
https://vk.com/wall-33327655_8309	2019_1.2	2019-10-22	2019	10	22	1:10	1.2	1	2
https://vk.com/wall-33327655_8328	2019_1.3	2019-10-25	2019	10	25	0:08	1.3	1	3
https://vk.com/wall-33327655_8321	2019_2.1	2019-10-23	2019	10	23	5:02	2.1	2	1
https://vk.com/wall-33327655_8323	2019_2.2	2019-10-23	2019	10	23	23:30	2.2	2	2
https://vk.com/wall-33327655_8385	2019_2.2	2019-10-29	2019	10	29	23:30	2.2	2	2
https://vk.com/wall-33327655_8330	2019_2.3	2019-10-25	2019	10	25	0:21	2.3	2	3
https://vk.com/wall-33327655_8300	2019_3.1	2019-10-20	2019	10	20	23:11	3.1	3	1
https://vk.com/wall-33327655_8277	2019_3.2	2019-10-15	2019	10	15	22:59	3.2	3	2
https://vk.com/wall-33327655_8279	2019_3.3	2019-10-15	2019	10	15	23:53	3.3	3	3
https://vk.com/wall-33327655_8322	2019_3.3	2019-10-23	2019	10	23	6:02	3.3	3	3
https://vk.com/wall-33327655_8299	2019_3.4	2019-10-20	2019	10	20	22:58	3.4	3	4
https://vk.com/wall-33327655_8293	2019_4.1	2019-10-18	2019	10	18	0:10	4.1	4	1
https://vk.com/wall-33327655_8292	2019_4.3	2019-10-17	2019	10	17	23:56	4.3	4	3
https://vk.com/wall-33327655_8308	2019_4.4	2019-10-22	2019	10	22	0:46	4.4	4	4
https://vk.com/wall-33327655_8261	2019_5.1	2019-10-13	2019	10	13	23:00	5.1	5	1
https://vk.com/wall-33327655_8262	2019_5.2	2019-10-13	2019	10	13	23:01	5.2	5	2
https://vk.com/wall-33327655_8267	2019_6.3	2019-10-14	2019	10	14	23:46	6.3	6	3
https://vk.com/wall-33327655_8266	2019_6.4	2019-10-14	2019	10	14	23:37	6.4	6	4
https://vk.com/wall-33327655_8366	2019_m1	2019-10-27	2019	10	27	21:50	m1	1	0
https://vk.com/wall-33327655_8310	2019_m2	2019-10-22	2019	10	22	1:46	m2	2	0
