year_x_year_stream	organizers
2017_1.1	Дарьей Трошиной
2017_1.1	Владимиром Поликушиным
2017_1.1	Ильей Денисовым
2017_1.3	Владимиром Поликушиным
2017_1.3	Валерием Сенотовым
2017_2.1	Марией Батутиной
2017_2.1	Татьяной Хан
2017_2.2	Анастасией Штерн
2017_2.2	Даниилом Коржом
2017_2.2	наблюдателем от Студсовета МГУ
2017_2.2	председателем студсовета биотехнологического факультета Екатериной Захаровой
2017_2.3	Марией Батутиной
2017_2.3	Анастасией Штерн
2017_3.1	Валерием Сенотовым
2017_3.1	Ильей Денисовым
2017_3.3	Валерием Сенотовым
2017_3.3	Ильей Денисовым
2017_4.1	Александром Тонконоговым
2017_4.1	Валерием Сенотовым
2017_4.2	Валерием Сенотовым
2017_4.2	Александром Тонконоговым
2017_4.3	Анастасией Сурковой
2017_4.3	Анастасией Красновой
2017_4.3	Александром Тонконоговым
2017_4.4	Яной Нагорных
2017_4.4	Никитой Кравчуком
2017_4.4	Александром Тонконоговым
2017_5.1	Валерием Сенотовым
2017_5.1	Анастасией Сурковой
2017_5.2	Валерием Сенотовым
2017_5.2	Анастасией Сурковой
2017_5.3	Никитой Кравчук
2017_5.3	Яной Нагорных
2017_6.2	Александром Тонконоговым
2017_6.2	Валерием Сенотовым
2017_6.3	Аскаром Назмутдиновым
2017_6.3	Ильей Денисовым
2017_6.4	Вероникой Мазитовой
