convocation_no	year_stream_no	stream_size	voted_cnt	NOTA_cnt	link	link_date	link_time
1	1.1	139	68	6	https://vk.com/topic-33327655_26089953	2012-03-07	20:55
1	1.2	138	60	2	https://vk.com/topic-33327655_26089953	2012-03-07	20:55
1	1.3	115	73	5	https://vk.com/topic-33327655_26089953	2012-03-07	20:55
1	2.1	133	91	5	https://vk.com/topic-33327655_26089854	2012-02-28	22:34
1	2.2	111	60	3	https://vk.com/topic-33327655_26089854	2012-02-28	22:34
1	2.3	113	71	0	https://vk.com/topic-33327655_26089854	2012-02-28	22:34
1	3.1	119	64	2	https://vk.com/topic-33327655_26089737	2012-03-07	2:03
1	3.2	113	62	0	https://vk.com/topic-33327655_26089737	2012-03-07	2:03
1	3.3	81	46	0	https://vk.com/topic-33327655_26089737	2012-03-07	2:03
1	3.4	29	21	21	https://vk.com/topic-33327655_26089737	2012-03-07	2:03
1	4.1	97	69	1	https://vk.com/topic-33327655_26089874	2012-03-07	18:55
1	4.2	94	49	2	https://vk.com/topic-33327655_26089874	2012-03-07	18:55
1	4.3	93	48	1	https://vk.com/topic-33327655_26089874	2012-03-07	18:55
1	4.4	32	20	0	https://vk.com/topic-33327655_26089874	2012-03-07	18:55
