convocation_no	year_stream_no	stream_size	voted_cnt	NOTA_cnt	invalid_cnt	link	link_date	link_time
1	1.1	139	68	6		https://vk.com/topic-33327655_26089953	2012-03-07	20:55
1	1.2	138	60	2		https://vk.com/topic-33327655_26089953	2012-03-07	20:55
1	1.3	115	73	5		https://vk.com/topic-33327655_26089953	2012-03-07	20:55
1	2.1	133	91	5		https://vk.com/topic-33327655_26089854	2012-02-28	22:34
1	2.2	111	60	3		https://vk.com/topic-33327655_26089854	2012-02-28	22:34
1	2.3	113	71	0		https://vk.com/topic-33327655_26089854	2012-02-28	22:34
1	3.1	119	64	2		https://vk.com/topic-33327655_26089737	2012-03-07	2:03
1	3.2	113	62	0		https://vk.com/topic-33327655_26089737	2012-03-07	2:03
1	3.3	81	46	0		https://vk.com/topic-33327655_26089737	2012-03-07	2:03
1	3.4	29	21	21		https://vk.com/topic-33327655_26089737	2012-03-07	2:03
1	4.1	97	69	1		https://vk.com/topic-33327655_26089874	2012-03-07	18:55
1	4.2	94	49	2		https://vk.com/topic-33327655_26089874	2012-03-07	18:55
1	4.3	93	48	1		https://vk.com/topic-33327655_26089874	2012-03-07	18:55
1	4.4	32	20	0		https://vk.com/topic-33327655_26089874	2012-03-07	18:55
4	1.1	166	129	5	10.0	https://vk.com/wall-33327655_2250	2014-11-21	22:15
4	1.2	136	95	6	4.0	https://vk.com/wall-33327655_2252	2014-11-21	22:25
4	1.3	138	83	2	1.0	https://vk.com/wall-33327655_2254	2014-11-21	22:35
4	2.1	135	89	1	1.0	https://vk.com/wall-33327655_2329	2014-11-27	23:15
4	2.2	135	87	7	0.0	https://vk.com/wall-33327655_2215	2014-11-17	21:06
4	2.3	105	86	8	0.0	https://vk.com/wall-33327655_2216	2014-11-17	21:21
4	3.1	83	50	1	2.0	https://vk.com/wall-33327655_2311	2014-11-25	21:43
4	3.2	103	56	0	0.0	https://vk.com/wall-33327655_2330	2014-11-27	23:20
4	3.3	98	67	3	0.0	https://vk.com/wall-33327655_2310	2014-11-25	21:42
4	3.4	48	24	0	0.0	https://vk.com/wall-33327655_2246	2014-11-21	22:10
4	4.1	102	52	1	0.0	https://vk.com/wall-33327655_2240	2014-11-21	21:45
4	4.2	102	54	0	0.0	https://vk.com/wall-33327655_2241	2014-11-21	21:50
4	4.3	82	43	9	0.0	https://vk.com/wall-33327655_2242	2014-11-21	22:00
4	4.4	25	16	0	0.0	https://vk.com/wall-33327655_2253	2014-11-21	22:30
4	5.1	96	50	0	0.0	https://vk.com/wall-33327655_2251	2014-11-21	22:20
4	5.2	70	35	0	0.0	https://vk.com/wall-33327655_2243	2014-11-21	22:05
4	5.3	98	49	17	0.0	https://vk.com/wall-33327655_2328	2014-11-27	23:10
4	m1	32	19	0	2.0	https://vk.com/wall-33327655_2326	2014-11-27	23:05
4	m2	9	5	0	0.0	https://vk.com/wall-33327655_2313	2014-11-25	23:24
5	1.1	144	123	5	2.0	https://vk.com/wall-33327655_3451	2015-10-23	21:18
5	1.2	154	91	25	1.0	https://vk.com/wall-33327655_3413	2015-10-20	21:00
5	1.3	129	107	1	2.0	https://vk.com/wall-33327655_3414	2015-10-20	21:34
5	2.1	128	80	16	1.0	https://vk.com/wall-33327655_3244	2015-10-14	22:39
5	2.2	132	69	3	0.0	https://vk.com/wall-33327655_3289	2015-10-15	23:47
5	2.3	113	71	6	0.0	https://vk.com/wall-33327655_3262	2015-10-14	23:54
5	3.1	98	53	2	1.0	https://vk.com/wall-33327655_3242	2015-10-14	22:05
5	3.2	107	59	2	4.0	https://vk.com/wall-33327655_3318	2015-10-17	20:45
5	3.3	103	62	0	0.0	https://vk.com/wall-33327655_3441	2015-10-21	21:40
5	4.1	83	44	2	0.0	https://vk.com/wall-33327655_3283	2015-10-15	22:47
5	4.2	99	52	6	0.0	https://vk.com/wall-33327655_3412	2015-10-20	20:28
5	4.3	87	50	1	0.0	https://vk.com/wall-33327655_3321	2015-10-17	20:57
5	5.1	91	46	1	0.0	https://vk.com/wall-33327655_3282	2015-10-15	22:36
5	5.2	80	42	1	1.0	https://vk.com/wall-33327655_3510	2015-10-30	23:50
5	5.3	86	49	9	3.0	https://vk.com/wall-33327655_3452	2015-10-23	21:26
5	m1	28	19	0	0.0	https://vk.com/wall-33327655_3465	2015-10-27	0:18
5	m2	17	13	0	0.0	https://vk.com/wall-33327655_3416	2015-10-20	21:47
6	1.1	157	95	26	2.0	https://vk.com/wall-33327655_5269	2016-10-24	20:34
6	1.2	154	120	12	5.0	https://vk.com/wall-33327655_5089	2016-10-15	18:45
6	1.3	132	110	11	1.0	https://vk.com/wall-33327655_5088	2016-10-15	18:40
6	2.1	125	63	11	0.0	https://vk.com/wall-33327655_5232	2016-10-20	18:32
6	2.2	128	81	1	0.0	https://vk.com/wall-33327655_5225	2016-10-20	17:30
6	2.3	96	51	3	0.0	https://vk.com/wall-33327655_5177	2016-10-18	22:45
6	3.1	100	51	4	0.0	https://vk.com/wall-33327655_5339	2016-10-31	20:50
6	3.2	105	54	0	0.0	https://vk.com/wall-33327655_5229	2016-10-20	18:24
6	3.3	90	66	1	1.0	https://vk.com/wall-33327655_5226	2016-10-20	17:48
6	3.4	35	19	1	0.0	https://vk.com/wall-33327655_5171	2016-10-18	22:05
6	4.1	95	50	0	2.0	https://vk.com/wall-33327655_5357	2016-10-31	23:50
6	4.2	77	41	0	0.0	https://vk.com/wall-33327655_5257	2016-10-21	16:30
6	4.3	103	57	0	2.0	https://vk.com/wall-33327655_5350	2016-10-31	21:45
6	5.1	74	43	1	1.0	https://vk.com/wall-33327655_5180	2016-10-18	23:24
6	5.2	99	51	7	0.0	https://vk.com/wall-33327655_5184	2016-10-19	0:09
6	5.3	85	44	1	0.0	https://vk.com/wall-33327655_5344	2016-10-31	21:05
6	5.4	48	40	5	1.0	https://vk.com/wall-33327655_5167	2016-10-18	21:37
6	m1	28	15	0	0.0	https://vk.com/wall-33327655_5268	2016-10-24	20:26
6	m2	18	11	1	0.0	https://vk.com/wall-33327655_5182	2016-10-18	23:39
7	1.1	155	102	2	2.0	https://vk.com/wall-33327655_6665	2017-10-27	22:00
7	1.3	127	86	17	5.0	https://vk.com/wall-33327655_6683	2017-10-31	19:55
7	2.1	122	62	13	0.0	https://vk.com/wall-33327655_6702	2017-11-01	20:00
7	2.2	134	106	7	3.0	https://vk.com/wall-33327655_6654	2017-10-25	22:24
7	2.3	110	61	6	1.0	https://vk.com/wall-33327655_6668	2017-10-27	22:30
7	3.1	103	53	2	2.0	https://vk.com/wall-33327655_6651	2017-10-25	20:14
7	3.3	85	47	2	0.0	https://vk.com/wall-33327655_6647	2017-10-24	23:50
7	4.1	69	35	1	0.0	https://vk.com/wall-33327655_6639	2017-10-24	17:30
7	4.2	81	43	0	0.0	https://vk.com/wall-33327655_6624	2017-10-20	19:00
7	4.3	90	48	1	0.0	https://vk.com/wall-33327655_6625	2017-10-20	20:00
7	4.4	37	23	0	0.0	https://vk.com/wall-33327655_6632	2017-10-21	21:00
7	5.1	95	48	4	0.0	https://vk.com/wall-33327655_6619	2017-10-19	19:00
7	5.2	76	39	1	0.0	https://vk.com/wall-33327655_6620	2017-10-19	20:00
