link	year_x_year_stream	link_date	link_year_no	link_month_no	link_day_no	link_time	year_stream_no	year_no	stream_no
https://vk.com/wall-33327655_6656	2017_1.1	2017-10-26	2017	10	26	23:23	1.1	1	1
https://vk.com/wall-33327655_6681	2017_1.3	2017-10-30	2017	10	30	23:18	1.3	1	3
https://vk.com/wall-33327655_6680	2017_2.1	2017-10-29	2017	10	29	23:30	2.1	2	1
https://vk.com/wall-33327655_6643	2017_2.2	2017-10-24	2017	10	24	23:07	2.2	2	2
https://vk.com/wall-33327655_6658	2017_2.3	2017-10-26	2017	10	26	23:32	2.3	2	3
https://vk.com/wall-33327655_6645	2017_3.1	2017-10-24	2017	10	24	23:26	3.1	3	1
https://vk.com/wall-33327655_6637	2017_3.3	2017-10-23	2017	10	23	23:55	3.3	3	3
https://vk.com/wall-33327655_6603	2017_4.1	2017-10-16	2017	10	16	22:54	4.1	4	1
https://vk.com/wall-33327655_6581	2017_4.2	2017-10-10	2017	10	10	22:44	4.2	4	2
https://vk.com/wall-33327655_6586	2017_4.3	2017-10-11	2017	10	11	23:05	4.3	4	3
https://vk.com/wall-33327655_6595	2017_4.4	2017-10-12	2017	10	12	22:33	4.4	4	4
https://vk.com/wall-33327655_6574	2017_5.1	2017-10-09	2017	10	9	23:01	5.1	5	1
https://vk.com/wall-33327655_6576	2017_5.2	2017-10-09	2017	10	9	23:13	5.2	5	2
https://vk.com/wall-33327655_6585	2017_5.3	2017-10-11	2017	10	11	22:42	5.3	5	3
https://vk.com/wall-33327655_6562	2017_6.2	2017-10-08	2017	10	8	21:44	6.2	6	2
https://vk.com/wall-33327655_6564	2017_6.3	2017-10-08	2017	10	8	22:17	6.3	6	3
https://vk.com/wall-33327655_6572	2017_6.4	2017-10-09	2017	10	9	22:45	6.4	6	4
