link	year_x_year_stream	link_date	link_year_no	link_month_no	link_day_no	link_time	year_stream_no	year_no	stream_no
https://vk.com/wall-33327655_2220	2014_1.1	2014-11-18	2014	11	18	23:10	1.1	1	1
https://vk.com/wall-33327655_2225	2014_1.2	2014-11-19	2014	11	19	21:07	1.2	1	2
https://vk.com/wall-33327655_2232	2014_1.2	2014-11-20	2014	11	20		1.2	1	2
https://vk.com/wall-33327655_2234	2014_1.3	2014-11-21	2014	11	21	1:42	1.3	1	3
https://vk.com/wall-33327655_2227	2014_2.1	2014-11-19	2014	11	19	21:12	2.1	2	1
https://vk.com/wall-33327655_2314	2014_2.1	2014-11-26	2014	11	26	0:00	2.1	2	1
https://vk.com/wall-33327655_2202	2014_2.2	2014-11-13	2014	11	13	21:39	2.2	2	2
https://vk.com/wall-33327655_2203	2014_2.3	2014-11-13	2014	11	13	21:40	2.3	2	3
https://vk.com/wall-33327655_2303	2014_3.1	2014-11-24	2014	11	24	22:23	3.1	3	1
https://vk.com/wall-33327655_2305	2014_3.1	2014-11-25	2014	11	25		3.1	3	1
https://vk.com/wall-33327655_2221	2014_3.2	2014-11-18	2014	11	18	23:11	3.2	3	2
https://vk.com/wall-33327655_2315	2014_3.2	2014-11-26	2014	11	26	0:02	3.2	3	2
https://vk.com/wall-33327655_2298	2014_3.3	2014-11-23	2014	11	23	22:43	3.3	3	3
https://vk.com/wall-33327655_2218	2014_3.4	2014-11-18	2014	11	18	1:42	3.4	3	4
https://vk.com/wall-33327655_2210	2014_4.1	2014-11-16	2014	11	16	21:54	4.1	4	1
https://vk.com/wall-33327655_2211	2014_4.2	2014-11-16	2014	11	16	21:56	4.2	4	2
https://vk.com/wall-33327655_2212	2014_4.3	2014-11-16	2014	11	16	21:59	4.3	4	3
https://vk.com/wall-33327655_2228	2014_4.4	2014-11-19	2014	11	19	21:12	4.4	4	4
https://vk.com/wall-33327655_2223	2014_5.1	2014-11-18	2014	11	18	23:45	5.1	5	1
https://vk.com/wall-33327655_2217	2014_5.2	2014-11-18	2014	11	18	1:28	5.2	5	2
https://vk.com/wall-33327655_2230	2014_5.3	2014-11-20	2014	11	20	0:04	5.3	5	3
https://vk.com/wall-33327655_2213	2014_m1	2014-11-16	2014	11	16	22:03	m1	1	0
https://vk.com/wall-33327655_3417	2015_1.1	2015-10-20	2015	10	20	22:15	1.1	1	1
https://vk.com/wall-33327655_3365	2015_1.2	2015-10-20	2015	10	20	0:50	1.2	1	2
https://vk.com/wall-33327655_3366	2015_1.3	2015-10-20	2015	10	20	1:14	1.3	1	3
https://vk.com/wall-33327655_3206	2015_2.1	2015-10-14	2015	10	14	0:32	2.1	2	1
https://vk.com/wall-33327655_3263	2015_2.2	2015-10-15	2015	10	15	0:59	2.2	2	2
https://vk.com/wall-33327655_3205	2015_2.3	2015-10-14	2015	10	14	0:32	2.3	2	3
https://vk.com/wall-33327655_3181	2015_3.1	2015-10-13	2015	10	13	0:56	3.1	3	1
https://vk.com/wall-33327655_3295	2015_3.2	2015-10-16	2015	10	16	1:20	3.2	3	2
https://vk.com/wall-33327655_3368	2015_3.3	2015-10-20	2015	10	20	1:24	3.3	3	3
https://vk.com/wall-33327655_3264	2015_4.1	2015-10-15	2015	10	15	1:19	4.1	4	1
https://vk.com/wall-33327655_3335	2015_4.2	2015-10-19	2015	10	19	0:39	4.2	4	2
https://vk.com/wall-33327655_3294	2015_4.3	2015-10-16	2015	10	16	1:10	4.3	4	3
https://vk.com/wall-33327655_3265	2015_5.1	2015-10-15	2015	10	15	1:32	5.1	5	1
https://vk.com/wall-33327655_3466	2015_5.2	2015-10-27	2015	10	27	0:54	5.2	5	2
https://vk.com/wall-33327655_3504	2015_5.2	2015-10-29	2015	10	29	23:09	5.2	5	2
https://vk.com/wall-33327655_3442	2015_5.3	2015-10-21	2015	10	21	22:46	5.3	5	3
https://vk.com/wall-33327655_3337	2015_m1	2015-10-19	2015	10	19	0:42	m1	1	0
https://vk.com/wall-33327655_3455	2015_m1	2015-10-25	2015	10	25	23:50	m1	1	0
https://vk.com/wall-33327655_3187	2015_m2	2015-10-13	2015	10	13	10:40	m2	2	0
https://vk.com/wall-33327655_3364	2015_m2	2015-10-20	2015	10	20	0:45	m2	2	0
https://vk.com/wall-33327655_5109	2016_1.1	2016-10-16	2016	10	16	21:04	1.1	1	1
https://vk.com/wall-33327655_5261	2016_1.1	2016-10-23	2016	10	23	20:02	1.1	1	1
https://vk.com/wall-33327655_5086	2016_1.2	2016-10-14	2016	10	14	22:25	1.2	1	2
