link	year_x_year_stream	link_date	link_year_no	link_month_no	link_day_no	link_time	year_stream_no	year_no	stream_no	stream_size	voted_cnt	invalid_cnt	NOTA_cnt	organizers
https://vk.com/wall-33327655_10001	2021_1.1	2021-10-17	2021	10	17	22:02	1.1	1	1	141	71	0	8	['Георгием Малиновским', 'Дарьей Мельниковой']
https://vk.com/wall-33327655_10009	2021_1.2	2021-10-19	2021	10	19	14:08	1.2	1	2	138	73	0	15	['Георгием Малиновским', 'Дарьей Мельниковой']
https://vk.com/wall-33327655_10000	2021_1.3	2021-10-17	2021	10	17	21:05	1.3	1	3	109	63	0	4	['Петром Третьяковым']
https://vk.com/wall-33327655_9998	2021_2.1	2021-10-17	2021	10	17	20:02	2.1	2	1	127	66	0	6	['Дарьей Мельниковой', 'Георгием Малиновским']
https://vk.com/wall-33327655_9985	2021_2.2	2021-10-16	2021	10	16	19:05	2.2	2	2	122	70	0	4	['Дарьей Мельниковой']
https://vk.com/wall-33327655_9989	2021_2.3	2021-10-16	2021	10	16	23:03	2.3	2	3	95	48	0	0	['Дарьей Мельниковой', 'Петром Третьяковым']
https://vk.com/wall-33327655_9984	2021_2.5	2021-10-16	2021	10	16	17:02	2.5	2	5	21	11	0	0	['Георгием Малиновским']
https://vk.com/wall-33327655_10007	2021_3.1	2021-10-19	2021	10	19	11:05	3.1	3	1	105	53	0	4	['Георгием Малиновским', 'Кириллом Дехничем']
https://vk.com/wall-33327655_9992	2021_3.2	2021-10-17	2021	10	17	15:35	3.2	3	2	104	52	0	4	['Дарьей Мельниковой', 'Кириллом Дехничем']
https://vk.com/wall-33327655_9976	2021_3.3	2021-10-15	2021	10	15	23:11	3.3	3	3	97	52	0	6	['Дарьей Мельниковой', 'Георгием Малиновским']
https://vk.com/wall-33327655_9905	2021_3.4	2021-10-12	2021	10	12	13:04	3.4	3	4	42	23	0	0	['Георгием Малиновским', 'Дарьей Мельниковой']
https://vk.com/wall-33327655_9906	2021_3.5	2021-10-12	2021	10	12	14:04	3.5	3	5	14	8	0	0	['Кириллом Дехничем']
https://vk.com/wall-33327655_9960	2021_4.3	2021-10-14	2021	10	14	22:39	4.3	4	3	100	51	0	1	['Петром Третьяковым', 'Георгием Малиновским']
https://vk.com/wall-33327655_9945	2021_5.2	2021-10-14	2021	10	14	9:15	5.2	5	2	88	46	0	9	['Дарьей Мельниковой']
https://vk.com/wall-33327655_9912	2021_5.3	2021-10-12	2021	10	12	20:20	5.3	5	3	89	46	0	1	['Георгием Малиновским']
https://vk.com/wall-33327655_9878	2021_5.4	2021-10-06	2021	10	6	20:36	5.4	5	4	37	21	0	0	['Кириллом Дехничем']
https://vk.com/wall-33327655_10026	2021_6.1	2021-10-21	2021	10	21	15:44	6.1	6	1	87	44	0	6	['Георгием Малиновским', 'Дарьей Мельниковой']
https://vk.com/wall-33327655_10031	2021_6.3	2021-10-21	2021	10	21	22:02	6.3	6	3	93	47	0	3	['Георгием Малиновским', 'Петром Третьяковым']
https://vk.com/wall-33327655_10018	2021_m1	2021-10-20	2021	10	20	20:21	m1	1	0	51	26	0	3	['Георгием Малиновским', 'Петром Третьяковым']
